timestamp,demand_forecast_mw
2023-01-10 04:00:00,140.98068
2023-01-10 05:00:00,141.0472
2023-01-10 06:00:00,141.01129
2023-01-10 07:00:00,141.28188
2023-01-10 08:00:00,141.09048
2023-01-10 09:00:00,141.28188
2023-01-10 10:00:00,141.57898
2023-01-10 11:00:00,141.38759
2023-01-10 12:00:00,141.57898
2023-01-10 13:00:00,141.5318
2023-01-10 14:00:00,141.5318
2023-01-10 15:00:00,141.5318
2023-01-10 16:00:00,141.34041
2023-01-10 17:00:00,141.5318
2023-01-10 18:00:00,141.5318
2023-01-10 19:00:00,141.5318
2023-01-10 20:00:00,141.34041
2023-01-10 21:00:00,141.5318
2023-01-10 22:00:00,141.91069
2023-01-10 23:00:00,141.91069
2023-01-11 00:00:00,144.42279
2023-01-11 01:00:00,145.07571
2023-01-11 02:00:00,144.88432
2023-01-11 03:00:00,145.07571
2023-01-11 04:00:00,146.18607
2023-01-11 05:00:00,146.44397
2023-01-11 06:00:00,146.3121
2023-01-11 07:00:00,146.77408
2023-01-11 08:00:00,146.77408
2023-01-11 09:00:00,146.77408
2023-01-11 10:00:00,146.87979
2023-01-11 11:00:00,146.87979
2023-01-11 12:00:00,147.07118
2023-01-11 13:00:00,147.024
2023-01-11 14:00:00,147.024
2023-01-11 15:00:00,147.024
2023-01-11 16:00:00,146.83261
2023-01-11 17:00:00,147.024
2023-01-11 18:00:00,147.024
2023-01-11 19:00:00,147.024
2023-01-11 20:00:00,146.83261
2023-01-11 21:00:00,147.024
2023-01-11 22:00:00,147.2115
2023-01-11 23:00:00,147.2115
2023-01-12 00:00:00,144.61418
2023-01-12 01:00:00,145.07571
2023-01-12 02:00:00,144.88432
2023-01-12 03:00:00,145.07571
2023-01-12 04:00:00,146.37746
2023-01-12 05:00:00,146.44397
2023-01-12 06:00:00,146.3121
2023-01-12 07:00:00,146.77408
2023-01-12 08:00:00,146.58269
2023-01-12 09:00:00,146.77408
2023-01-12 10:00:00,147.07118
2023-01-12 11:00:00,146.87979
2023-01-12 12:00:00,147.07118
2023-01-12 13:00:00,146.83261
2023-01-12 14:00:00,147.024
2023-01-12 15:00:00,146.83261
2023-01-12 16:00:00,147.024
2023-01-12 17:00:00,147.024
2023-01-12 18:00:00,147.024
2023-01-12 19:00:00,147.024
2023-01-12 20:00:00,147.024
2023-01-12 21:00:00,147.024
2023-01-12 22:00:00,147.2115
2023-01-12 23:00:00,147.4029
2023-01-13 00:00:00,144.93996
